Ideal,Actual
28,23.5460946945355
30.5,27.3947316535396
21.1,25.9225497784959
14.5,13.1181774198786
13,13.12287342448
14,14.3904589990508
15,13.6412211172566
31.3,37.1146701713373
35.7,36.0006625464516
18,18.6880924621674
19,29.1383523641553
33.5,28.791102655657
31,33.2388822992453
19.9,23.0858163844159
26,23.6847508134596
27,24.8605211002157
20,22.7956434451863
27.5,24.9550970673256
20.8,21.6231779659184
16,13.2005079284465
24,20.5646971556755
14,12.9600885587983
26.6,27.4232407057813
19,16.769742800381
30,32.2286247651705
12,13.1764982951928
17.5,13.4787751749435
18.5,18.4597817573074
19,20.1771146715671
19,20.0295999537788
13,12.8878757120686
21,21.3183228526038
13,15.3915462797555
13,13.2484440785856
29.8,35.1701584739782
29,27.7432762270406
26,25.6301048084826
36,31.6350407456898
20.5,19.0562965964812
36,34.1020205880963
15,14.9220607387307
24,27.8814466256643
28,30.2371403508894
26,29.3747983846487
37,37.3227986778711
22,22.6063257361743
23,21.3834989638071
24,24.8998553791772
13,13.3487732825476
26,26.1410175964646
15,19.5932864595964
19,28.8897085303155
23.9,17.5802582190957
32.1,34.4548732140921
35.1,36.7194051531951
34,35.9488241353182
23.8,24.1109372838092
30,35.5378124908364
23,21.8570284164299
39,35.505359890482
15,17.7394916816767
21,26.2745162722036
16,11.9369948173768
36,33.7956897502234
14,12.1606036791078
29,29.525547451366
27.2,29.3932858359232
31.6,32.7306736762204
37.7,36.0299314610231
25,20.877073253986
28.4,25.4790208461068
12,11.5162333390777
16,18.173543922556
13,13.6939224425965
38,33.9003122743986
21.5,22.1836329575299
27,29.592210413927
21,26.9524267976472
31.8,33.1723172123347
16.5,12.323886393643
14,14.8397499037762
17,15.0661454271918
20.6,18.7249147179834
18,19.5479229109384
26,25.3609474795041
20.2,21.2442529221164
23.7,36.9972004379256
33.5,30.166641929325
34.1,35.5421064126015
32.4,37.8605995903025
29,29.535957439281
15,18.4437215445522
16.5,13.1892839434665
23,17.8410675584544
18,20.7691629896284
16.2,16.480715771677
16,14.6166455993817
