Ideal,Actual
32,30.1820608275502
24.5,26.2171650563498
14,14.9995750925049
26,22.4379625564038
15,18.1318854509183
40.8,35.9534781861713
14,14.1127216460745
14,13.0651880789399
27,28.2635508405467
14,13.1535656714865
16,16.740070987111
18.5,16.6753665650379
16,14.9873020245758
22,23.1142183867728
32,33.638325940863
35,30.75323294558
24,23.069057075857
25,23.9387969967379
23,22.7300950810542
15,15.7958715047545
27.4,29.7524521769055
37,31.683521744447
26,29.2848591506214
22,20.1223520203787
25,26.3718771698877
19.4,19.7363707119133
31.5,27.6622413146889
17.5,16.1798719963116
25,28.1085310130526
19,19.8469559436589
15.5,16.9283409714112
12,13.1051422751103
23.9,25.992726652528
20.2,17.3660971308772
13,18.5755419294775
22,25.141540661263
28,23.3159988962848
19.2,19.0827687736639
27.9,26.7959620678283
19.1,23.1715394336979
10,11.8120072108729
25,23.0006545370257
31,29.2150785123136
20.5,19.9909532609751
26,22.5747204195189
39.4,30.1077419398642
22,28.481483235592
29,25.940152752474
13,16.2358523073088
25.4,24.7165288654396
27.5,25.4317748784431
19.2,18.1754963559984
23.5,22.1336545769434
43.1,30.3999142985008
13,13.2972405349231
10,11.6105595395374
29,29.11985260654
14,12.3679663865654
14,12.9965982642515
15,13.3005028244259
21,18.9940800330128
11,11.8292180144507
18,18.869933455729
18,21.3356063364671
32.7,21.6608525727606
26,29.0565045481239
21.1,25.3902467135721
15,16.8305910645092
20.5,18.6063811156733
31.6,30.7209301108811
25,27.3501729720867
37,33.8581882609089
15,15.3912297355495
14,14.6337177799143
22.5,21.0569403513792
21,19.2950366921192
22,23.5167018847593
18,18.7606543879919
33.8,36.0771893406485
27,29.0010354670793
13,15.4006737700538
18,19.4605491355026
19.4,16.9115688425031
33.5,30.5060830422497
14,17.6917499986526
26,24.3770475149674
17.6,18.2144129991753
25.5,24.6361807227422
16,15.401412256589
25,23.9555775376725
18,19.2698305773089
18.6,17.7233341208311
26,23.9289554934577
32,31.642121652964
18.2,17.6445161094616
19,18.0587973267731
26,25.7595269130608
